,Name,Stock Ticker,Headquarters,Latitude,Longitude
1,3M,MMM,3M Headquarter,44.9507206,-92.9954105
2,American Express,AXP,American Express Headquarter,40.7134455,-74.01527209999999
3,Apple,AAPL,Apple Headquarter,37.33182,-122.03118
4,Boeing,BA,Boeing Headquarter,41.8841353,-87.63884270000001
5,Caterpillar,CAT,Caterpillar Headquarter,40.688667,-89.597323
6,Chevron,CVX,Chevron Headquarter,37.7587,-121.95905
7,Cisco,CSCO,Cisco Headquarter,37.4083591,-121.9540715
8,Coca-Cola,KO,Coca-Cola Headquarter,33.754433,-84.381907
9,DowDuPont Inc.,DWDP,DowDuPont Inc. Headquarter,43.61278,-84.1974
10,Exxon Mobil,XOM,Exxon Mobil Headquarter,32.89026,-96.94936
11,Goldman Sachs,GS,Goldman Sachs Headquarter,40.714828,-74.0144025
12,Home Depot,HD,Home Depot Headquarter,33.8654896,-84.4814083
13,IBM,IBM,IBM Headquarter,41.108918,-73.718875
14,Intel,INTC,Intel Headquarter,37.3875909,-121.9637869
15,Johnson & Johnson,JNJ,Johnson & Johnson Headquarter,40.4978883,-74.4430916
16,JPMorgan Chase,JPM,JPMorgan Chase Headquarter,40.75582,-73.97569
17,McDonald's,MCD,McDonald's Headquarter,41.8836322,-87.6538373
18,Merck,MRK,Merck Headquarter,40.679799,-74.275249
19,Microsoft,MSFT,Microsoft Headquarter,47.63962,-122.13061
20,Nike,NKE,Nike Headquarter,45.5077764,-122.8281466
21,Pfizer,PFE,Pfizer Headquarter,40.7502192,-73.9726673
22,Procter & Gamble,PG,Procter & Gamble Headquarter,39.1032195,-84.5052772
23,Travelers Companies Inc.,TRV,Travelers Companies Inc. Headquarter,40.7542603,-73.97358700000001
24,United Health,UNH,United Health Headquarter,44.8973859,-93.4032532
25,United Technologies,UTX,United Technologies Headquarter,41.7122183,-72.80407079999999
26,Verizon,VZ,Verizon Headquarter,40.7546836,-73.9847556
27,Visa,V,Visa Headquarter,37.55925209999999,-122.2763649
28,Walmart,WMT,Walmart Headquarter,36.3648645,-94.2176775
29,Walgreens Boots Alliance,WBA,Walgreens Boots Alliance Headquarter,42.1555553,-87.86876099999999
30,Walt Disney,DIS,Walt Disney Headquarter,34.1583481,-118.3249137
0,Amazon,AMZN,Amazon Headquarter,47.6222881,-122.3364939
1,Google,GOOGL,Google Headquarter,37.4219999,-122.0840575
2,Facebook,FB,Facebook Headquarter,37.48493,-122.1482
